entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,activity_type,activity_code,env_score_adjustment,env_score_adjustment_capped,sdg_id,sdg_name,Sector_Comp_1,Sector_Comp_2,Sector_Comp_3,Sector_Comp_4,Sector_Comp_5,Sector_Comp_6,Sector_Comp_7,Sector_Comp_8,Sector_Comp_9,Sector_Comp_10,num_env_activities,has_env_activity,avg_env_adjustment,num_sdgs,has_sdg,unique_sdgs,target_scope_1_log,target_scope_2_log,revenue_safe,rev_x_env,rev_x_gov,E_x_S,S_x_G,E_x_G,revenue_log1p,esg_mean,esg_var,env_norm,gov_norm,soc_norm
29,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,10912700000.0,2.164,2.381,1.955,2.024,24850.0,30357.0,Operation,MTH001,-1.5,-1.0,9.0,"Industry, Innovation and Infrastructure",-0.100808052237765,0.6785463518444467,-0.0284747640764727,-0.0117279917245537,-0.0290089555638626,-0.0075840208550761,0.008168014171416,-0.0052830685396648,0.013921738958712,-0.0319857842478925,2,1,-1.0,2,1,1,10.120653272163802,10.320815353186804,10912700000.0,25983138699.999996,22087304800.0,4.6548549999999995,3.95692,4.819144,23.113193085641775,2.12,0.05228099999999993,1.1231132075471697,0.9547169811320755,0.9221698113207547
37,WEU,Western Europe,ES,Spain,1279737000.0,3.796,4.05,3.8,3.333,10327.0,22314.0,Other,ENVIB010,-0.1,-0.1,16.0,"Peace, Justice and Strong Institutions",-0.0623981966079844,-0.0756274910950847,-0.0501872581159811,-0.0196802867576714,-0.04539940545024,-0.0118240856591745,0.0169597681321459,-0.007015420114889,0.025028150456637,-0.0549820571297727,1,1,-0.1,1,1,1,9.242613932526478,10.01301437706337,1279737000.0,5182934850.0,4265363421.0,15.389999999999999,12.6654,13.49865,20.969920425797753,3.7276666666666665,0.1324463333333332,1.086470535634445,0.8941250111776805,1.0194044531878745
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,Farming,D.35.7.B,-0.232170692,-0.232170692,7.0,Affordable and Clean Energy,-0.091492580052614,-0.1243122864283039,-0.1855167005531623,1.1408341878278332,-0.7320004855268304,5.367552197946608,-0.2036929746673424,0.0420881919913737,-0.1362700448660374,0.306657587773938,18,1,-0.05233025914,18,1,2,10.509277841877822,11.404259492303675,492307000.0,1561597804.0,1301167401.0,9.516,7.928999999999999,8.383595999999999,20.014613065630765,2.938333333333334,0.07281233333333342,1.0795235394214406,0.899489506522972,1.020986954055587
58,WEU,Western Europe,NO,Norway,655579000.0,3.682,4.566,3.084,2.81,231720.0,3401.0,Other,ENVIB025,-0.25,-0.25,8.0,Decent Work and Economic Growth,-0.0659520417945858,-0.0793879511260519,-0.0557231605955963,-0.0224332300198482,-0.0533148939441118,-0.0139831355475477,0.020484686817984,-0.0085370989595498,0.0308172310743002,-0.0692430956491836,4,1,-0.1812114885,4,1,1,12.353289340754502,8.132118772955806,655579000.0,2993373714.0,1842176990.0,14.081544,8.66604,12.83046,20.30102937411963,3.486666666666667,0.892489333333333,1.3095602294455067,0.8059273422562141,0.8845124282982791
60,WEU,Western Europe,IT,Italy,787000000.0,1.902,1.34,2.9,1.714,416298.0,85145.0,Operation,MTH002,-0.1,-0.1,12.0,Responsible Consumption and Production,-0.0660204150184977,-0.0797395964287818,-0.0567523937658611,-0.0241574008723112,-0.049871114775125,-0.0125928427240736,0.0333491020155517,-0.0098855139040763,0.0363539630281827,-0.1244516876341384,1,1,-0.1,1,1,1,12.939159031066321,11.352122709062593,787000000.0,1054580000.0000001,1348918000.0,3.886,4.9706,2.29676,20.483738807652326,1.9846666666666668,0.6633453333333332,0.6751763520322472,0.863621095062143,1.4612025529056096
63,WEU,Western Europe,FR,France,1926233000.0,2.908,3.65,1.797,2.905,12879.0,6132.0,Operation,Q.86.2.B,-0.1,-0.1,3.0,Good Health and Wellbeing,-0.0662853963692224,-0.0804241661233717,-0.0495171556877337,-0.0238212546920489,-0.056169852369457,-0.0161642921903513,0.0466450533423664,-0.0056109081750506,0.0111536781070003,-0.0610995926033951,4,1,0.0737677801499999,4,1,1,9.463430999658344,8.721439305625983,1926233000.0,7030750450.0,5595706865.0,6.559049999999999,5.220285,10.60325,21.378832119640776,2.7840000000000003,0.8693829999999999,1.3110632183908044,1.0434626436781607,0.6454741379310344
66,WEU,Western Europe,FR,France,4800000000.0,2.971,3.215,3.593,1.786,17567.0,5803.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing,-0.0638241424110775,-0.0760451099674205,-0.0509050803209094,-0.0200742052317712,-0.0467976594844497,-0.0122844170243438,0.0171413736958035,-0.0079394558917704,0.0260510284455006,-0.0578377532759927,2,1,-0.1,2,1,2,9.773834344309257,8.666302614004078,4800000000.0,15432000000.0,8572800000.0,11.551495,6.417098,5.7419899999999995,22.29188175506859,2.8646666666666665,0.9083623333333333,1.1222946241563883,0.6234582266697697,1.2542471491738423
87,WEU,Western Europe,IT,Italy,568178000.0,2.726,3.0,2.677,2.286,2440.0,447.22,Operation,MTH002,-0.1,-0.1,9.0,"Industry, Innovation and Infrastructure",-0.0770756410151334,-0.0986544167668851,-0.1071448501957676,-0.0596895587488549,-0.2525956311239545,-0.1070727695967374,-0.5370630769608588,-0.5037522455870935,-0.3529815359980346,0.2375078005510795,1,1,-0.1,1,1,1,7.80016307039296,6.105284183307442,568178000.0,1704534000.0,1298854908.0,8.031,6.119622000000001,6.8580000000000005,20.15794530963378,2.654333333333333,0.12783433333333333,1.1302273012683663,0.8612332035664951,1.0085394951651387
90,WEU,Western Europe,IT,Italy,686200000.0,3.181,3.957,2.585,2.5,46555.0,29729.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing,-0.0763579843217344,-0.103398426792299,-0.0735504144873269,-0.1101036673686478,0.8900510804867808,0.0988513769442146,-0.0962069638318027,0.0112025626743275,-0.0357774172824219,0.1112691947178704,1,1,-0.1,1,1,1,10.748411168061867,10.299911915992144,686200000.0,2715293400.0,1715500000.0,10.228845,6.4625,9.8925,20.346679689845924,3.014,0.6687429999999999,1.3128732581287326,0.8294625082946251,0.8576642335766423
98,WEU,Western Europe,DE,Germany,616338000.0,3.376,3.821,3.0,3.024,4709.6,1410.4,Operation,MTH002,-0.1,-0.1,8.0,Decent Work and Economic Growth,-0.064555199958321,-0.0771715882327762,-0.0527835995227008,-0.0167049804870563,-0.0521933822264807,0.0130268644637613,0.0158814490210825,-0.009681932128512,0.0220906609930589,-0.0532538518316318,1,1,-0.1,1,1,1,8.457570567432265,7.25233739856673,616338000.0,2355027498.0,1863806112.0,11.463000000000001,9.072,11.554704000000001,20.239306073937467,3.2816666666666663,0.21830433333333343,1.1643473844591166,0.9214829862874556,0.9141696292534283
